2020-07-10 16:01:51,493 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:01 48', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:04:30,676 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:04 27', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:05:40,829 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:05 37', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:06:16,163 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:06 12', 'user': {'account_name': 'Guest', 'message_text': 'TEST'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:12:10,284 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:12 07', 'user': {'account_name': 'Guest', 'message_text': 'TEST'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:13:19,189 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:13 16', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:14:30,497 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:14 27', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:15:19,200 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:15 16', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:18:02,205 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:17 58', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:19:32,123 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:19 28', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:20:52,105 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:20 48', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:22:00,433 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:21 57', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:23:13,644 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:23 08', 'user': {'account_name': 'Guest', 'message_text': 'testtest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:26:24,651 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:24 20', 'user': {'account_name': 'Guest', 'message_text': 'еtest2'}},), {}.Вызов из модуля __main__. Вызов из функции <module>.Вызов из функции main
2020-07-10 17:01:15,990 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:24 20', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции <module>.Вызов из функции main
